,Product name,Price,Image URL,Scroll batch,SKU,Short description,Detail URL
0,Chaz Kangeroo Hoodie,$52,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh01-gray_main.jpg,0,MH01,This is a variable product called a Chaz Kangeroo Hoodie,https://scrapingcourse.com/ecommerce/product/chaz-kangeroo-hoodie
1,Teton Pullover Hoodie,$70,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh02-black_main.jpg,0,MH02,This is a variable product called a Teton Pullover Hoodie,https://scrapingcourse.com/ecommerce/product/teton-pullover-hoodie
2,Bruno Compete Hoodie,$63,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh03-black_main.jpg,0,MH03,This is a variable product called a Bruno Compete Hoodie,https://scrapingcourse.com/ecommerce/product/bruno-compete-hoodie
3,Frankie Sweatshirt,$60,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh04-green_main.jpg,0,MH04,This is a variable product called a Frankie  Sweatshirt,https://scrapingcourse.com/ecommerce/product/frankie--sweatshirt
4,Hollister Backyard Sweatshirt,$52,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh05-white_main.jpg,0,MH05,This is a variable product called a Hollister Backyard Sweatshirt,https://scrapingcourse.com/ecommerce/product/hollister-backyard-sweatshirt
5,Stark Fundamental Hoodie,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh06-blue_main.jpg,0,MH06,This is a variable product called a Stark Fundamental Hoodie,https://scrapingcourse.com/ecommerce/product/stark-fundamental-hoodie
6,Hero Hoodie,$54,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh07-gray_main.jpg,0,MH07,This is a variable product called a Hero Hoodie,https://scrapingcourse.com/ecommerce/product/hero-hoodie
7,Oslo Trek Hoodie,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh08-brown_main.jpg,0,MH08,This is a variable product called a Oslo Trek Hoodie,https://scrapingcourse.com/ecommerce/product/oslo-trek-hoodie
8,Abominable Hoodie,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh09-blue_main.jpg,0,MH09,This is a variable product called a Abominable Hoodie,https://scrapingcourse.com/ecommerce/product/abominable-hoodie
9,Mach Street Sweatshirt,$62,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh10-blue_main.jpg,0,MH10,This is a variable product called a Mach Street Sweatshirt,https://scrapingcourse.com/ecommerce/product/mach-street-sweatshirt
